Id_Municipio;Municipio;Populacao
3983;PINTADAS;10656
3797;PIRITIBA;17838
3907;SERRA PRETA;18685
3925;TAPIRAMUTA;16253
3997;VARZEA DA ROCA;14279
3367;BELMONTE;20567
3117;EUNAPOLIS;120515
3535;GUARATINGA;19490
3279;ITABELA;29563
3607;ITAGIMIRIM;6512
3627;ITAPEBI;9501
3807;PORTO SEGURO;181007
3855;SANTA CRUZ CABRALIA;30862
3407;CAIRU;18486
3415;CAMAMU;31775
3523;GANDU;33938
3277;IGRAPIUNA;13528
3647;ITUBERA;22299
3753;NILO PECANHA;12418
3009;NOVA IBIA;6701
3019;PIRAI DO NORTE;11429
3023;PRESIDENTE TANCREDO NEVES;29343
3923;TAPEROA;18571
3931;TEOLANDIA;15919
3957;VALENCA;90028
3969;WENCESLAU GUIMARAES;25430
3315;ALCOBACA;25494
3437;CARAVELAS;21229
3557;IBIRAPUA;9259
3621;ITANHEM;18258
3679;LAJEDAO;3986
3723;MEDEIROS NETO;22925
3741;MUCURI;40005
3761;NOVA VICOSA;41551
3811;PRADO;37241
3993;TEIXEIRA DE FREITAS;153332
3051;VEREDA;6171
3429;CANDEIAS;75083
3685;LAURO DE FREITAS;217960
3293;MADRE DE DEUS;19173
3883;SAO FRANCISCO DO CONDE;40932
3889;SAO SEBASTIAO DO PASSE;42936
3913;SIMOES FILHO;120394
3081;CAPELA DO ALTO ALEGRE;11055
3467;CONCEICAO DO COITE;71316
3093;GAVIAO;4493
3567;ICHU;6415
3979;NORDESTINA;19500
3007;NOVA FATIMA;8264
3981;PE DE SERRA;13675
3817;QUEIMADAS;27362
3823;RETIROLANDIA;14147
3827;RIACHAO DO JACUIPE;35118
3861;SANTALUZ;39922
3029;SAO DOMINGOS;8693
3959;VALENTE;25126
3255;ANDORINHA;15485
3335;ANTONIO GONCALVES;11236
3419;CAMPO FORMOSO;74894
3091;FILADELFIA;18573
3641;ITIUBA;35491
3655;JAGUARARI;34440
3793;PINDOBACU;19625
3021;PONTO NOVO;18670
3901;SENHOR DO BONFIM;77976
3413;CAMACARI;319394
3087;DIAS D AVILA;
3619;ITANAGRA;6087
3721;MATA DE SAO JOAO;44839
3805;POJUCA;33608
3341;ARACI;50336
3077;BARROCAS;15743
3371;BIRITINGA;15606
3683;LAMARAO;9305
3909;SERRINHA;84428
3929;TEOFILANDIA;21827
3301;ABAIRA;7452
3379;BONINAL;14104
3389;BROTAS DE MACAUBAS;12169
3561;IBITIARA;15062
3565;IBOTIRAMA;27670
3583;IPUPIARA;10318
3589;IRAQUARA;24759
3687;LENCOIS;11170
3733;MORPARA;8232
3739;MUCUGE;12650
3005;MUQUEM DE SAO FRANCISCO;
3013;NOVO HORIZONTE;11565
3765;OLIVEIRA DOS BREJINHOS;21334
3771;PALMEIRAS;10819
3787;PIATA;20859
3897;SEABRA;48530
3915;SOUTO SOARES;17674
3319;AMARGOSA;38478
3385;BREJOES;13272
3505;ELISIO MEDRADO;8066
3727;MILAGRES;11434
3757;NOVA ITARANA;8059
3887;SAO MIGUEL DAS MATAS;10634
3267;CABACEIRAS DO PARAGUACU;17039
3397;CACHOEIRA;30550
3463;CONCEICAO DA FEIRA;21499
3531;GOVERNADOR MANGABEIRA;21314
3713;MARAGOGIPE;37225
3747;MURITIBA;30146
3879;SAO FELIX;11198
3445;CASTRO ALVES;25471
3465;CONCEICAO DO ALMEIDA;16184
3495;CRUZ DAS ALMAS;63203
3283;ITATIM;16375
3869;SANTA TERESINHA;
3881;SAO FELIPE;20918
3891;SAPEACU;18609
