Id_Municipio,Municipio,Populacao
3723,MEDEIROS NETO,22925.0
3725,MIGUEL CALMON,25317.0
3727,MILAGRES,11434.0
3729,MIRANGABA,16185.0
3297,MIRANTE,10523.0
3731,MONTE SANTO,49823.0
3733,MORPARA,8232.0
3735,MORRO DO CHAPEU,35224.0
3737,MORTUGABA,11487.0
3739,MUCUGE,12650.0
3741,MUCURI,40005.0
3299,MULUNGU DO MORRO,13625.0
3743,MUNDO NOVO,17417.0
3745,MUNIZ FERREIRA,7443.0
3005,MUQUEM DE SAO FRANCISCO,
3747,MURITIBA,30146.0
3749,MUTUIPE,20612.0
3751,NAZARE,28403.0
3753,NILO PECANHA,12418.0
3979,NORDESTINA,19500.0
3755,NOVA CANAA,14035.0
3007,NOVA FATIMA,8264.0
3009,NOVA IBIA,6701.0
3757,NOVA ITARANA,8059.0
3011,NOVA REDENCAO,7708.0
3759,NOVA SOURE,24906.0
3761,NOVA VICOSA,41551.0
3013,NOVO HORIZONTE,11565.0
3015,NOVO TRIUNFO,11197.0
3763,OLINDINA,23085.0
3765,OLIVEIRA DOS BREJINHOS,21334.0
3767,OURICANGAS,7939.0
3017,OUROLANDIA,20037.0
3769,PALMAS DE MONTE ALTO,20677.0
3771,PALMEIRAS,10819.0
3773,PARAMIRIM,21009.0
3775,PARATINGA,30671.0
3777,PARIPIRANGA,27866.0
3779,PAU BRASIL,9584.0
3781,PAULO AFONSO,119128.0
3981,PE DE SERRA,13675.0
3783,PEDRAO,6415.0
3785,PEDRO ALEXANDRE,14288.0
3787,PIATA,20859.0
3789,PILAO ARCADO,37272.0
3791,PINDAI,15146.0
3793,PINDOBACU,19625.0
3983,PINTADAS,10656.0
3019,PIRAI DO NORTE,11429.0
3795,PIRIPA,9255.0
3797,PIRITIBA,17838.0
3799,PLANALTINO,8254.0
3801,PLANALTO,24036.0
3803,POCOES,50642.0
3805,POJUCA,33608.0
3021,PONTO NOVO,18670.0
3807,PORTO SEGURO,181007.0
3809,POTIRAGUA,10636.0
3811,PRADO,37241.0
3813,PRESIDENTE DUTRA,15650.0
3815,PRESIDENTE JANIO QUADROS,12986.0
3023,PRESIDENTE TANCREDO NEVES,29343.0
